ZDB-28-OSK	Oxford Scholarship Online / Mathematics
ZDB-28-OSW	Oxford Scholarship Online / Social Work
ZDB-28-OSR	Oxford Scholarship Online / Religion
ZDB-23-DGB	De Gruyter eBook-Paket Bibliothekswesen, Dokumentation und Information
ZDB-23-DGC	De Gruyter E-Books / Rechtswissenschaften
ZDB-23-DGD	De Gruyter E-Books / Altertumswissenschaften
ZDB-42-OBL	oldenbourg-link
DE-Ml2	Stadtarchiv Bad Münstereifel
DE-Bgh1	Rhein-Erft-Kreis, Kreisarchiv
DE-Dkh1	Stadtarchiv Bad Dürkheim
DE-Nau2	Stadtarchiv Bad Nauheim
DE-Bs92	Stadtarchiv Braunschweig
DE-Buer2	früher: Kreisarchiv Büren
DE-Bok1	Kreisarchiv Borken
DE-1393-BOT	Hochschule Ruhr West, Hochschulbibliothek, Zweigbibliothek Bottrop
GB-LO/N38	British Library Newspapers
DE-Diz1	Stadtarchiv Ditzingen
DE-Fdt1	Stadtarchiv Friedrichstadt
DE-Gh4	Stadtarchiv Glashütte
DE-Ef31	Stadtarchiv Erfurt
DE-Frt1	Stadtarchiv Frankenthal
DE-Gtl1	Stadtarchiv Gütersloh
DE-Gos7	Stadtarchiv Goslar
DE-Otf1	Stadtarchiv Ostfildern-Nellingen
DE-Reck2	Stadt- und Vestisches Archiv Recklinghausen
DE-Sie7	Stadtarchiv Sankt Augustin
DE-Sie8	Stadtarchiv Siegburg
DE-Olp1	Stadtarchiv Olpe
DE-Pa5	Stadt- und Kreisarchiv Paderborn
DE-Rad7	Stadtarchiv Radebeul
DE-Bbg15	Stadtarchiv Bernburg
ZDB-1-AAS1	American Antiquarian Society (AAS) Historical Periodicals Collection : Series 1 (1691-1820)  [Nationallizenz]
DE-Bru2	Stadtarchiv Bruchsal
DE-Bgd1	Stadt Burgdorf, Kulturabteilung
ZDB-33-COS	Elsevier e-book collection - Computer Science
DE-Bux2	Stadtarchiv Buxtehude
ZDB-33-CEN	Elsevier e-book collection - Chemical Engineering
DE-Eit1	Gemeindearchiv Eitorf
DE-Fn2	Geschichts- und Heimatverein Furtwangen
DE-Glk1	Stadtarchiv Geilenkirchen
DE-Eil2	Stadtarchiv Eilenburg
DE-Enp1	Stadtarchiv Ennepetal
DE-Erk1	Stadtarchiv Erkelenz
DE-Fre1	Stadtarchiv Frechen
DE-Gm5	Stadtarchiv Grimma
DE-Gk2	Stadtarchiv Goch
DE-Heg2	Kreisarchiv Heinsberg
DE-Hef2	Kommunalarchiv Herford
DE-Hid1	Stadtarchiv Hilden
DE-Isl1	Stadtarchiv Iserlohn
DE-Lit1	Stadtarchiv Lichtenstein
DE-Lsn1	Stadtarchiv Leisnig
DE-Mb110	Stadtarchiv Marburg
DE-Mkw1	Stadtarchiv Marktredwitz
DE-1825	Gymnasium Vilshofen, Bibliothek
DE-B1589	Schwules Museum Berlin, Bibliothek
DE-B1590	Stadtgeschichtliches Museum Zitadelle Spandau, Archiv
DE-Bg3	Stadtarchiv Steinfurt
DE-Bg4	Kreisarchiv Steinfurt
DE-Say1	Stadtarchiv Sayda
DE-Wnh1	Stadtarchiv Weinheim
DE-Tsn1	Stadtarchiv Titisee-Neustadt
DE-Tel1	Stadtarchiv Telgte
DE-MUS-864819	Kulturhistorisches Museum / Ringelnatz-Sammlung
DE-1827	Volksbücherei Tüßling
DE-B1584	Haus der Kulturen der Welt, HKW.Bibliothek
ZDB-1-JCO	Journal of Clinical Oncology Legacy Archive (ASCO) 1983-1998 [Nationallizenz]
DE-609	Verbund der  Öffentlichen Bibliotheken Berlins - VÖBB
DE-Frei210	Kunstverein Freiburg e.V., Bibliothek
DE-1391	Gemeindebücherei Steinkirchen-Grünendeich
ZDB-20-CHO	Cambridge Histories Online
ZDB-22-CAN	Ciando
ZDB-10-BBB	Knovel Biochemistry, Biology, Biotechnology
ZDB-10-ESC	Knovel Electronics & Semiconductors
ZDB-10-MMN	Knovel Mechanics and Mechanical Engineering
ZDB-10-SED	Knovel Sustainable Energy & Development
ZDB-28-DRS	Oxford Reference Library
ZDB-23-DGS	De Gruyter Handbücher zur Sprach- und Kommunikationswissenschaft
ZDB-10-CHE	Knovel Chemistry & Chemical Engineering
ZDB-32-SBO	Safari Books Online
DE-Bib2	Stadtarchiv Biberach, Bibliothek
DE-1811-OS	Niedersächsisches Landesarchiv, Standort Osnabrück
ZDB-2-PEF	Springer ebook collection / Palgrave Economics & Finance Collection
ZDB-2-PBM	Springer ebook collection / Palgrave Business & Management Collection
DE-1398	Stadtbibliothek Mühlacker
DE-MUS-809312	Museum Burg Querfurt
ZDB-18-BEO	beck-online
ZDB-33-PCH	Elsevier e-book collection - Psychology
DE-1811-ST	Niedersächsisches Landesarchiv, Standort Stade
DE-1811-BU	Niedersächsisches Landesarchiv, Standort Bückeburg
DE-1372	Kreisbücherei Hohenhameln
DE-100-502	Forschungsstelle Glücksspiel der Universität Hohenheim, Bibliothek
ZDB-1-JA1	JSTOR : Arts & Sciences I Collection [Nationalkonsortium]
ZDB-1-JA5	JSTOR : Arts & Sciences V Collection [Nationalkonsortium]
ZDB-1-JMC	JSTOR : Museum Collection [Nationalkonsortium]
ZDB-1-JA2	JSTOR : Arts & Sciences II Collection [Nationalkonsortium]
ZDB-1-JA3	JSTOR : Arts & Sciences III Collection [Nationalkonsortium]
ZDB-1-JB2	JSTOR : Business II Collection [Nationalkonsortium]
ZDB-1-JAC	JSTOR : Arts & Sciences VII Collection [Nationalkonsortium]
ZDB-1-JB1	JSTOR : Business I Collection [Nationalkonsortium]
ZDB-1-JP1	JSTOR : Public Library I Collection [Nationalkonsortium]
ZDB-1-SCA	Science Classic Archiv [Nationallizenz]
ZDB-1-EAV	Universal Database of Social Sciences & Humanities / bis 2011 [Nationallizenz]
ZDB-1-SRC	Chinamaxx / SSReaders [Nationallizenz]
DE-Kle3	früher: Kleinmachnow; Landesamt für Bergbau, Geologie und Rohstoffe Brandenburg, Fachbibliothek
DE-1374	Katholische Öffentliche Bücherei St. Georg
DE-Nkg1	Mediothek im SRH Berufsbildungswerk Neckargemünd
DE-30-900	Universität Frankfurt,  Elektronische Ressourcen
DE-1377	Europäische Fachhochschule Rhein/Erft GmbH (EUFH), Bibliothek
DE-Po84	Theodor-Fontane-Archiv Universität Potsdam
DE-1378	Stadtbücherei Flörsheim am Main
DE-1379	Schul- und Gemeindebibliothek Havixbeck
DE-Zwi17	Robert-Schumann-Haus Zwickau, Bibliothek
DE-Hb5	Dekanatamt Heilbronn, Bibliothek
DE-B724	Landesarchiv Berlin, Bibliothek
DE-Hil6	Dombibliothek Hildesheim
DE-Zlp1	Stadtarchiv Zülpich, Bibliothek
DE-Ans2	Bayerisches Verwaltungsgericht Ansbach, Bibliothek
DE-Ake1	Stadtarchiv Aken
DE-As6	Stadtarchiv Aschersleben
DE-Bbg14	Salzlandkreis, Kreisarchiv
DE-Bit5	Kreisarchiv Anhalt-Bitterfeld
DE-Ca3	Stadtarchiv Calbe
DE-De19	Landeshauptarchiv Sachsen-Anhalt, Abteilung Dessau
DE-MUS-805018	Museum Haldensleben
DE-Hal7	Kreis- und Stadtarchiv Haldensleben
DE-San5	Landkreis Mansfeld-Südharz, Kreisarchiv Sangerhausen
DE-Ta3	Stadtarchiv Tangerhütte
DE-E15	Regionalverband Ruhr, Bibliothek
DE-Ta2	Heimatmuseum Tangerhütte, Bibliothek
DE-We16	Kreisarchiv Wernigerode
DE-MUS-812313	Museum der Stadt Zerbst und Sammlung Katharina II.
DE-Wan3	Stadtarchiv Wanzleben - Börde
DE-Ws8	Stadtarchiv Weißenfels
DE-Goe172	Akademie der Wissenschaften zu Göttingen, Germania Sacra
DE-1841	Hochschule für den öffentlichen Dienst in Bayern, Fachbereich Polizei, Bibliothek
ZDB-42-OGG	oldenbourg-link / Grundriss der Geschichte
ZDB-42-OZW	oldenbourg-link / Sozialwissenschaften
ZDB-42-OEG	oldenbourg-link / Enzyklopädie deutscher Geschichte
ZDB-42-ON1	oldenbourg-link / Naturwissenschaft und Technik 1
ZDB-52-TAL	HeinOnline / Treaties and Agreements Library
ZDB-52-LJL	HeinOnline / Law Journal Library
ZDB-52-ECM	HeinOnline / European Center for Minority Issues
DE-8-69	Universitätsbibliothek Kiel, Fachbibliothek am Institut für Geowissenschaften
DE-1082a	Hochschule Kaiserslautern, Campus Pirmasens, Hochschulbibliothek
ZDB-1-ZBM	Zentralblatt  MATH [Archiv]  [Nationallizenz]
ZDB-1-PRA	Pravda  [Nationallizenz]
ZDB-1-SOT	Social Theory  [Nationallizenz]
ZDB-20-CBO	Cambridge Books Online
ZDB-4-30H	EBSCO Historical Abstracts with Full Text
ZDB-1-BMJA	BMJ Journals Online Archive  [Nationallizenz]
ZDB-1-SAGA	früher: Sage Journals Online Deep Backfile 1879 - 2010 [Archiv/Allianz-Lizenz]
ZDB-1-SAGB	Sage Journals Online / Health, Biomedical & Clinical Medicine [Allianz-Lizenz]
ZDB-1-SAGM	Sage Journals Online / Materials Science & Engineering [Allianz-Lizenz]
ZDB-1-KEC	Karger eBooks Collection [Komplett] [DFG-geförderte Allianz-Lizenz]
ZDB-1-CAJK	früher: China Academic Journals [Komplett] [DFG-geförderte Allianz-Lizenz]
ZDB-1-EMSK	European Mathematical Society / EMS Journals [Komplett] [DFG-geförderte Allianz-Lizenz]
ZDB-52-SLW	HeinOnline / Session Laws
ZDB-52-NMC	HeinOnline / National Moot Court Competition
ZDB-52-FIL	HeinOnline / Foreign & International Law Resources Database
DE-208b	Bibliothek des 5. Strafsenats des Bundesgerichtshofs
ZDB-49-OLR	Olms Online / Reprints
ZDB-49-OLM	Olms Online / Messkataloge
DE-1834k	Macromedia Library Köln
DE-1834b	Macromedia Library Berlin
ZDB-1-WBA	World Bank E-Library Archive  [Nationallizenz]
DE-16-200	Bibliotheca Laureshamensis - digital
ZDB-18-BST	beck-eBibliothek - Die Studienliteratur
DE-522	Technische Hochschule Brandenburg, Hochschulbibliothek
DE-1838	Stadtbibliothek Eschenbach
DE-100-580	Institut für Interorganizational Management & Performance der Universität Hohenheim, Bibliothek
DE-1839	Gemeindebibliothek Weyhe
DE-7-911	Akademie der Wissenschaften zu Göttingen, Sanskrit-Wörterbuch, Bibliothek
ZDB-51-LIP	Library Information Portal
ZDB-32-STB	Safari Tech Books Online
ZDB-52-FRL	HeinOnline / Federal Register Library
ZDB-52-USP	HeinOnline / U.S. Presidential Library
ZDB-52-USS	HeinOnline / U.S. Statutes at Large
DE-L189	Hochschule für Technik, Wirtschaft und Kultur, Hochschulbibliothek
DE-Fl6	European Centre for Minority Issues (ECMI), Library
DE-26-910	Universität Gießen,  Universitätsbibliothek, Sammlung Schüling (Grafiksammlung)
DE-26-912	Universität Gießen,  Universitätsbibliothek und Universitätsarchiv, Bildarchiv
ZDB-4-EIH	EBSCO Environment Complete
ZDB-1-AAS3	American Antiquarian Society (AAS) Historical Periodicals Collection : Series 3 (1838-1852)  [Nationallizenz]
ZDB-1-EMS	European Mathematical Society / EMS Journals [Archiv]  [Nationallizenz]
ZDB-1-SAGH	Sage Journals Online / Humanities and Social Sciences (HSS) [Allianz-Lizenz]
ZDB-1-SAGS	Sage Journals Online / Science Technology Medicine (STM) [Allianz-Lizenz]
ZDB-1-ABM	ARTbibliographies Modern 1974 - 2013 [Komplett] [DFG-geförderte Allianz-Lizenz]
DE-1843	International School of Management, Bibliothek
DE-Ka96	Literarische Gesellschaft e.V., Bibliothek
DE-Sen1	früher: Brandenburgische Technische Universität Cottbus-Senftenberg, Campus Senftenberg
DE-1844	Korbinian-Aigner-Gymnasium Erding, Bibliothek
ZDB-28-OSN	Oxford Scholarship Online / Neuroscience
DE-Be2	Stadtarchiv Bensheim
DE-Hlg1	Stadtarchiv Heiligenstadt
DE-Hrt1	Stadtarchiv Herten
DE-Kor1	Stadtarchiv Korbach
DE-Kr7	Stadtarchiv Krefeld
DE-Rhn1	Stadtarchiv Rheine
DE-Sta4	Stadtarchiv Stade
DE-Srb3	Fraunhofer  UMSICHT, Institutsteil Sulzbach-Rosenberg, Bibliothek
DE-Ka95	Regierungspräsidium Karlsruhe, Referat 26 - Denkmalpflege, Bibliothek
DE-100-505	Archiv der Universität Hohenheim, Bibliothek
DE-B1591	Alice Salomon Archiv der Alice Salomon Hochschule Berlin
ZDB-42-OVW	oldenbourg-link / Volkswirtschaftslehre
ZDB-42-ON2	oldenbourg-link / Naturwissenschaft und Technik 2
DE-Krh2	Institut für Qualitätsentwicklung an Schulen Schleswig-Holstein, Bücherei
ZDB-1-MMP	Making of Modern Law : Primary Sources, 1620-1926 / MOML 4  [Nationallizenz]
ZDB-1-FTA	Financial Times Historical Archive 1888-2006  [Nationallizenz]
DE-631	Landesbibliographie Baden-Württemberg, Zentralredaktion
DE-Stg284	Ministerium für Kultus, Jugend und Sport Baden-Württemberg, Bibliothek
ZDB-2-LNP	Springer Lecture Notes in Physics
ZDB-1-ABA	ARTbibliographies Modern 1974 - 2010 [Archiv]  [Nationallizenz]
DE-1261	Stadtbücherei Bornheim
DE-B2228	Stadtbibliothek Marzahn-Hellersdorf, Bezirkszentralbibliothek "Mark Twain"
DE-B1568	Forschungs- und Dokumentationszentrum Chile Lateinamerika (FDCL) e.V., Archiv
DE-82-010	Filmstudio an der RWTH Aachen e.V., Bibliothek
DE-1262	Stadtbibliothek Heidenau
DE-M502	Bezirk Oberbayern, Bezirksverwaltung, Bibliothek
DE-1266	See-Campus-Bibliothek
DE-1267	Stadtbibliothek Großräschen
DE-1270	Stadtbibliothek "Ulrich Plenzdorf" Seelow
DE-Aib1	Historischer Verein Bad Aibling und Umgebung, Archiv
DE-Aoe1	Stadtarchiv Altötting
DE-Btg1	Marktarchiv Berchtesgaden
DE-Dau1	Stadtarchiv Dachau
DE-Eg1	Stadtarchiv Ebersberg
DE-Freis3	Stadtarchiv Freising
DE-B1569	Information Center of the European School of Management and Technology GmbH (esmt Information Center)
